id,title,language,topics,difficulty,prerequisites,file_name
video057,Understanding Unions in C,C,"union,memory,data types",intermediate,"structures,variables",c_unions_tutorial.mp4
video058,C Arrays usage,C,"arrays,indexing,iteration",intermediate,"variables,loops",c_arrays_usage.mp4
video059,C typedef Keyword Explained,C,"typedef,custom types,alias",intermediate,"variables,data types",c_typedef_keyword.mp4
video060,Assignment Operators in C,C,"assignment,operators,shorthand",beginner,"variables,arithmetic",c_assignment_operators.mp4
video061,How to Use scanf in C,C,"scanf,input,format specifiers",beginner,"variables,basic syntax",c_scanf_input.mp4
video062,Using realloc in C,C,"realloc,dynamic memory,resizing",advanced,"malloc,pointers",c_realloc_usage.mp4
video063,Java basics,Java,java,beginner,,java_basics.mp4
video064, java operators,Java,operators,intermediate,variables,java_operators.mp4
video065,java Arrays,Java,arrays,intermediate,variables,java_arrays.mp4
video066,Java switch,Java,switch,intermediate,"functions,variables",java_switch.mp4
video067,Java  Type Casting,Java,"type casting,datatype ",advanced,"variable,functions,",java_typecasting.mp4
video068,Java Data Types,Java,"variables,short ,double",intermediate,variable,java_datatypes.mp4
video069,Java constructor,Java,"constructor,file,class",advanced,"variable,functions,",java_constructur.mp4
video070,Java lamda,Java,"lamda expresion ,function ,passing arguments",advanced,"variable,functions,",lamda_java.mp4
video071,java variable,Java,"variables,declaration of variable",beginner,,java_variable.mp4
video072,java overloading and overiding,Java,"inheritance,polymorphism",advanced,"classes,objects",overloadind_and_overdiding_java.mp4
video073,java recursive function,Java,function,intermediate,"variable,functions,",recursive_function_java.mp4
video074,java string function,Java,"string,function",intermediate,variables,string_functions_ java.mp4
video075,Java oops,Java,"class,object",intermediate,"variable,functions,",oops_java .mp4
video076,Java loops,Java,"for ,while,do while",intermediate,"variable,functions,",loops_java .mp4
video077,Java string immutable,Java,string,intermediate,"variable,functions,",string_java.mp4
video078,Java Exception Handlng,Java,"exception,error ",advanced,"function ,loop",exeption_handlng_java.mp4
video079,Java data structres,Java,"data structure,set,hashset",advanced,"function ,loop",java_data_structres.mp4
video080,Java modifiers,Java,"class,private,protected,public,Inheretence",advanced,"classs,objects",java_modifiers.mp4
video081,Java packages,Java,"class,folder,database",advanced,"classes,objects",java_packages.mp4
video082,Java comments,Java,comment,beginner,,java_comments.mp4
video083,Java File Handling,Java,"file,read,write",intermediate,"variables,functions",java_files.mp4
video084,JavaScript Event Loop,JavaScript,"event loop,concurrency,asynchronous",advanced,"callbacks,promises",js_event_loop.mp4
video085,JavaScript Closures Explained,JavaScript,"closures,functions,scope",intermediate,"functions,variables",js_closures.mp4
video086,JavaScript Hoisting,JavaScript,"hoisting,variables,functions",intermediate,"variables,functions",js_hoisting.mp4
video087,JavaScript Spread and Rest Operators,JavaScript,"spread,rest,arrays,objects",intermediate,"arrays,functions",js_spread_rest.mp4
video088,JavaScript Map and Set,JavaScript,"map,set,collections",intermediate,"arrays,objects",js_map_set.mp4
video089,JavaScript Async Await,JavaScript,"async,await,asynchronous",advanced,"promises,functions",js_async_await.mp4
video090,JavaScript Error Handling with try-catch,JavaScript,"error handling,try-catch,exceptions",intermediate,"functions,variables",js_try_catch.mp4
video091,JavaScript Prototypes and Inheritance,JavaScript,"prototype,inheritance,oop",advanced,"functions,objects",js_prototypes_inheritance.mp4
video092,JavaScript Debouncing and Throttling,JavaScript,"debouncing,throttling,performance",advanced,"functions,events",js_debounce_throttle.mp4
video093,JavaScript Event Delegation,JavaScript,"events,delegation,dom",intermediate,"dom events,listeners",js_event_delegation.mp4
video094,JavaScript Template Literals,JavaScript,"template strings,interpolation",beginner,"strings,variables",js_template_literals.mp4
video095,JavaScript Generators Explained,JavaScript,"generators,yield,iteration",advanced,"functions,iterators",js_generators.mp4
video096,JavaScript Bitwise Operators,JavaScript,"bitwise,operators,binary",intermediate,"operators,numbers",js_bitwise_operators.mp4
video097,python operators,Python,operators,intermediate,variables,python_operators.mp4
video098,python type casting,Python,"type casting,datatype",intermediate,variables,type_casting.mp4
video099,python dictionary,Python,"dictionary,variables,keywords",intermediate,variables,python_dictionary.mp4
video100,python exception Handling,Python,"exception handling,error",intermediate,"variables,functions",exception_handling_python.mp4
